drug_name,normalized_name,source,source_score,target_symbol,disease_association_score,max_clinical_stage,n_sources,sort_score
AMANTADINE HYDROCHLORIDE,amantadine,open_targets,,GRIN1,0.6969502087656452,APPROVAL,2,0.6969502087656452
KETAMINE HYDROCHLORIDE,ketamine,open_targets,,GRIN1,0.6969502087656452,PHASE_3,2,0.6969502087656452
Amantadine,amantadine,hetionet,0.0045561257874485,,,,2,0.0045561257874485
Ketamine,ketamine,hetionet,0.0042174709362685,,,,2,0.0042174709362685
PRASINEZUMAB,prasinezumab,open_targets,,SNCA,0.8664139817614886,PHASE_3,1,0.8664139817614886
CINPANEMAB,cinpanemab,open_targets,,SNCA,0.8664139817614886,PHASE_2,1,0.8664139817614886
AFEGOSTAT,afegostat,open_targets,,GBA1,0.7489769701208553,PHASE_2,1,0.7489769701208553
AFEGOSTAT TARTRATE,afegostat,open_targets,,GBA1,0.7489769701208553,PHASE_2,1,0.7489769701208553
ZAGOTENEMAB,zagotenemab,open_targets,,MAPT,0.7147937869132485,PHASE_2,1,0.7147937869132485
GOSURANEMAB,gosuranemab,open_targets,,MAPT,0.7147937869132485,PHASE_2,1,0.7147937869132485
BEPRANEMAB,bepranemab,open_targets,,MAPT,0.7147937869132485,PHASE_2,1,0.7147937869132485
TILAVONEMAB,tilavonemab,open_targets,,MAPT,0.7147937869132485,PHASE_2,1,0.7147937869132485
POSDINEMAB,posdinemab,open_targets,,MAPT,0.7147937869132485,PHASE_2,1,0.7147937869132485
SEMORINEMAB,semorinemab,open_targets,,MAPT,0.7147937869132485,PHASE_2,1,0.7147937869132485
RALFINAMIDE,ralfinamide,open_targets,,GRIN1,0.6969502087656452,PHASE_3,1,0.6969502087656452
AV-101,av-101,open_targets,,GRIN1,0.6969502087656452,PHASE_3,1,0.6969502087656452
ORPHENADRINE HYDROCHLORIDE,orphenadrine,open_targets,,GRIN1,0.6969502087656452,APPROVAL,1,0.6969502087656452
RADIPRODIL,radiprodil,open_targets,,GRIN1,0.6969502087656452,PHASE_3,1,0.6969502087656452
PERZINFOTEL,perzinfotel,open_targets,,GRIN1,0.6969502087656452,PHASE_2,1,0.6969502087656452
TRAXOPRODIL,traxoprodil,open_targets,,GRIN1,0.6969502087656452,PHASE_2,1,0.6969502087656452
LANICEMINE,lanicemine,open_targets,,GRIN1,0.6969502087656452,PHASE_2,1,0.6969502087656452
NERAMEXANE,neramexane,open_targets,,GRIN1,0.6969502087656452,PHASE_3,1,0.6969502087656452
PROCYCLIDINE,procyclidine,open_targets,,CHRM1,0.6651920814477192,APPROVAL,1,0.6651920814477192
TRIHEXYPHENIDYL HYDROCHLORIDE,trihexyphenidyl,open_targets,,CHRM1,0.6651920814477192,EARLY_PHASE_1,1,0.6651920814477192
CEVIMELINE HYDROCHLORIDE,cevimeline,open_targets,,CHRM1,0.6651920814477192,APPROVAL,1,0.6651920814477192
METHIXENE,methixene,open_targets,,CHRM1,0.6651920814477192,APPROVAL,1,0.6651920814477192
BENZTROPINE MESYLATE,benztropine,open_targets,,CHRM1,0.6651920814477192,APPROVAL,1,0.6651920814477192
MINAPRINE HYDROCHLORIDE,minaprine,open_targets,,CHRM1,0.6651920814477192,UNKNOWN,1,0.6651920814477192
MK-7622,mk-7622,open_targets,,CHRM1,0.6651920814477192,PHASE_2,1,0.6651920814477192
GLYCOPYRRONIUM,glycopyrronium,open_targets,,CHRM1,0.6651920814477192,APPROVAL,1,0.6651920814477192
AFACIFENACIN,afacifenacin,open_targets,,CHRM1,0.6651920814477192,PHASE_2,1,0.6651920814477192
ASM-024,asm-024,open_targets,,CHRM1,0.6651920814477192,PHASE_2,1,0.6651920814477192
Memantine,memantine,hetionet,0.0155136463731307,,,,1,0.0155136463731307
Galantamine,galantamine,hetionet,0.0110503850599179,,,,1,0.0110503850599179
Donepezil,donepezil,hetionet,0.0079916823563841,,,,1,0.0079916823563841
Riluzole,riluzole,hetionet,0.0073855273641419,,,,1,0.0073855273641419
Rivastigmine,rivastigmine,hetionet,0.0073569940840617,,,,1,0.0073569940840617
Acamprosate,acamprosate,hetionet,0.0063814053102901,,,,1,0.0063814053102901
Metformin,metformin,hetionet,0.0058922708832047,,,,1,0.0058922708832047
Cycloserine,cycloserine,hetionet,0.0056996462662233,,,,1,0.0056996462662233
Propylhexedrine,propylhexedrine,hetionet,0.0056784862551398,,,,1,0.0056784862551398
Molindone,molindone,hetionet,0.0056486056761761,,,,1,0.0056486056761761
Biotin,biotin,hetionet,0.0055695920462911,,,,1,0.0055695920462911
Isometheptene,isometheptene,hetionet,0.0055112401584146,,,,1,0.0055112401584146
Sucralfate,sucralfate,hetionet,0.0055072182572096,,,,1,0.0055072182572096
Rufinamide,rufinamide,hetionet,0.0053855405651276,,,,1,0.0053855405651276
Disulfiram,disulfiram,hetionet,0.0053377584607083,,,,1,0.0053377584607083
Vitamin E,vitamin e,hetionet,0.0053309126796807,,,,1,0.0053309126796807
