compound_id,compound_name,disease_id,disease_name,category,status,prior_prob,prediction,training_prediction,compound_percentile,disease_percentile,n_trials,status_trials,status_drugcentral
DB01043,Memantine,DOID:14330,Parkinson's disease,SYM,0,0.0,0.0155136463731307,,0.977941176470588,1.0,,,
DB00674,Galantamine,DOID:14330,Parkinson's disease,,0,0.0,0.0110503850599179,,0.977941176470588,0.999349804941482,1.0,1.0,0.0
DB00843,Donepezil,DOID:14330,Parkinson's disease,,0,0.0,0.0079916823563841,,0.985294117647059,0.998699609882965,10.0,1.0,0.0
DB00740,Riluzole,DOID:14330,Parkinson's disease,,0,0.0,0.0073855273641419,,0.970588235294118,0.998049414824447,0.0,0.0,0.0
DB00989,Rivastigmine,DOID:14330,Parkinson's disease,SYM,0,0.0,0.0073569940840617,,0.977941176470588,0.99739921976593,,,
DB00659,Acamprosate,DOID:14330,Parkinson's disease,,0,0.0,0.0063814053102901,,0.919117647058823,0.996749024707412,1.0,1.0,0.0
DB00331,Metformin,DOID:14330,Parkinson's disease,,0,0.0,0.0058922708832047,,0.867647058823529,0.996098829648895,0.0,0.0,0.0
DB00260,Cycloserine,DOID:14330,Parkinson's disease,,0,0.0,0.0056996462662233,,1.0,0.995448634590377,0.0,0.0,0.0
DB06714,Propylhexedrine,DOID:14330,Parkinson's disease,,0,0.0,0.0056784862551398,,0.992647058823529,0.99479843953186,0.0,0.0,0.0
DB01618,Molindone,DOID:14330,Parkinson's disease,,0,0.0,0.0056486056761761,,0.904411764705882,0.994148244473342,0.0,0.0,0.0
DB00121,Biotin,DOID:14330,Parkinson's disease,,0,0.0,0.0055695920462911,,0.992647058823529,0.993498049414824,0.0,0.0,0.0
DB06706,Isometheptene,DOID:14330,Parkinson's disease,,0,0.0,0.0055112401584146,,0.992647058823529,0.992847854356307,0.0,0.0,0.0
DB00364,Sucralfate,DOID:14330,Parkinson's disease,,0,0.0,0.0055072182572096,,0.889705882352941,0.992197659297789,0.0,0.0,0.0
