target_symbol,target_name,target_ensembl_id,disease_association_score,drug_name,drug_id,max_clinical_stage
SNCA,synuclein alpha,ENSG00000145335,0.8664139817614886,PRASINEZUMAB,CHEMBL4298077,PHASE_3
SNCA,synuclein alpha,ENSG00000145335,0.8664139817614886,CINPANEMAB,CHEMBL3833330,PHASE_2
GBA1,glucosylceramidase beta 1,ENSG00000177628,0.7489769701208553,AFEGOSTAT,CHEMBL206468,PHASE_2
GBA1,glucosylceramidase beta 1,ENSG00000177628,0.7489769701208553,AFEGOSTAT TARTRATE,CHEMBL2105671,PHASE_2
MAPT,microtubule associated protein tau,ENSG00000186868,0.7147937869132485,ZAGOTENEMAB,CHEMBL4298021,PHASE_2
MAPT,microtubule associated protein tau,ENSG00000186868,0.7147937869132485,GOSURANEMAB,CHEMBL3990042,PHASE_2
MAPT,microtubule associated protein tau,ENSG00000186868,0.7147937869132485,BEPRANEMAB,CHEMBL4594612,PHASE_2
MAPT,microtubule associated protein tau,ENSG00000186868,0.7147937869132485,TILAVONEMAB,CHEMBL4297860,PHASE_2
MAPT,microtubule associated protein tau,ENSG00000186868,0.7147937869132485,POSDINEMAB,CHEMBL4650402,PHASE_2
MAPT,microtubule associated protein tau,ENSG00000186868,0.7147937869132485,SEMORINEMAB,CHEMBL4298093,PHASE_2
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,0.6969502087656452,RALFINAMIDE,CHEMBL2107771,PHASE_3
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,0.6969502087656452,AMANTADINE HYDROCHLORIDE,CHEMBL1569,APPROVAL
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,0.6969502087656452,AV-101,CHEMBL3545351,PHASE_3
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,0.6969502087656452,KETAMINE HYDROCHLORIDE,CHEMBL1714,PHASE_3
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,0.6969502087656452,ORPHENADRINE HYDROCHLORIDE,CHEMBL1201023,APPROVAL
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,0.6969502087656452,RADIPRODIL,CHEMBL182066,PHASE_3
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,0.6969502087656452,PERZINFOTEL,CHEMBL452461,PHASE_2
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,0.6969502087656452,TRAXOPRODIL,CHEMBL17350,PHASE_2
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,0.6969502087656452,LANICEMINE,CHEMBL467084,PHASE_2
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,0.6969502087656452,NERAMEXANE,CHEMBL2110954,PHASE_3
CHRM1,cholinergic receptor muscarinic 1,ENSG00000168539,0.6651920814477192,PROCYCLIDINE,CHEMBL86715,APPROVAL
CHRM1,cholinergic receptor muscarinic 1,ENSG00000168539,0.6651920814477192,TRIHEXYPHENIDYL HYDROCHLORIDE,CHEMBL1092,EARLY_PHASE_1
CHRM1,cholinergic receptor muscarinic 1,ENSG00000168539,0.6651920814477192,CEVIMELINE HYDROCHLORIDE,CHEMBL2218917,APPROVAL
CHRM1,cholinergic receptor muscarinic 1,ENSG00000168539,0.6651920814477192,METHIXENE,CHEMBL1201342,APPROVAL
CHRM1,cholinergic receptor muscarinic 1,ENSG00000168539,0.6651920814477192,BENZTROPINE MESYLATE,CHEMBL1200383,APPROVAL
CHRM1,cholinergic receptor muscarinic 1,ENSG00000168539,0.6651920814477192,MINAPRINE HYDROCHLORIDE,CHEMBL1364551,UNKNOWN
CHRM1,cholinergic receptor muscarinic 1,ENSG00000168539,0.6651920814477192,MK-7622,CHEMBL4078588,PHASE_2
CHRM1,cholinergic receptor muscarinic 1,ENSG00000168539,0.6651920814477192,GLYCOPYRRONIUM,CHEMBL1201335,APPROVAL
CHRM1,cholinergic receptor muscarinic 1,ENSG00000168539,0.6651920814477192,AFACIFENACIN,CHEMBL3545165,PHASE_2
CHRM1,cholinergic receptor muscarinic 1,ENSG00000168539,0.6651920814477192,ASM-024,CHEMBL3707249,PHASE_2
